epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.9386,1.47064,4.23426,1.41234,0.0106,0.32536,0.01433,0.00756,1.38548,3.8043,1.36482,0.000892768,0.000297589,0.000892768,0.000297589,0.000892768,0.000297589,0.000892768,0.000297589
2,55.395,1.44389,4.11976,1.36363,0.01099,0.46723,0.02871,0.01509,1.35759,3.69898,1.31026,0.00179285,0.000597616,0.00179285,0.000597616,0.00179285,0.000597616,0.00179285,0.000597616
3,79.1859,1.42023,3.84636,1.30154,0.01482,0.59382,0.06859,0.03596,1.41258,3.36718,1.34317,0.00268393,0.000894644,0.00268393,0.000894644,0.00268393,0.000894644,0.00268393,0.000894644
4,103.167,1.44578,3.45306,1.3331,0.23906,0.11663,0.09842,0.05145,1.47947,2.91332,1.41175,0.0026865,0.000895501,0.0026865,0.000895501,0.0026865,0.000895501,0.0026865,0.000895501
5,125.444,1.45158,3.14069,1.34946,0.23432,0.19309,0.12841,0.0695,1.49303,2.71347,1.39673,0.00267301,0.000891002,0.00267301,0.000891002,0.00267301,0.000891002,0.00267301,0.000891002
6,149.559,1.42137,2.95728,1.307,0.34021,0.25455,0.16645,0.09298,1.47631,2.50874,1.36821,0.00265951,0.000886502,0.00265951,0.000886502,0.00265951,0.000886502,0.00265951,0.000886502
7,172.076,1.4312,2.8435,1.30747,0.37065,0.21385,0.19416,0.10923,1.45231,2.40688,1.37768,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
8,195.95,1.39359,2.71789,1.29292,0.21771,0.27165,0.22406,0.12733,1.44269,2.30034,1.36194,0.00263251,0.000877503,0.00263251,0.000877503,0.00263251,0.000877503,0.00263251,0.000877503
9,220.037,1.38608,2.56992,1.29426,0.28506,0.26124,0.25655,0.14729,1.43625,2.19637,1.34525,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
10,243.071,1.40264,2.43988,1.28901,0.35212,0.31801,0.30669,0.18011,1.43088,2.08733,1.32845,0.00260551,0.000868504,0.00260551,0.000868504,0.00260551,0.000868504,0.00260551,0.000868504
11,266.742,1.37067,2.34218,1.27022,0.52516,0.35696,0.34836,0.20509,1.4128,2.00412,1.31384,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
12,290.167,1.34472,2.24657,1.2666,0.6075,0.34164,0.3899,0.22898,1.40191,1.91749,1.30938,0.00257851,0.000859505,0.00257851,0.000859505,0.00257851,0.000859505,0.00257851,0.000859505
